Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр
Дангал. Слово борца,2016,2h 41m,"Махавир Сингх Фогат, бывший борец, решает осуществить свою мечту о завоевании золотой медаль для своей страны, обучая своих дочерей для Игр Содружества, несмотря на существующие социальные стигмы.",8.3,"India, United States","Action, Biography, Drama"
Таксист,1976,1h 54m,"Мраво неуравновешенный ветеран работает ночным таксистом в Нью -Йорке, где воспринимаемый декаданс и подлости подпитывают его стремление к насильственным действиям.",8.2,United States,"Crime, Drama"
Гамильтон,2020,2h 40m,Реальная жизнь одного из главных отцов -основателей Америки и первого секретаря казначейства Александр Гамильтон. Захватил в прямом эфире на Бродвее из театра Ричарда Роджерса с оригинальным бродвейским актерским составом.,8.3,United States,"Biography, Drama, History"
Волк с Уолл-стрит,2013,3h 0m,"Основываясь на истинной истории Джордана Белфорта, от его подъема до богатого фондового брокера, проживающего высокую жизнь до его падения, связанного с преступностью, коррупцией и федеральным правительством.",8.2,United States,"Biography, Comedy, Crime"
Бэтмен: Начало,2005,2h 20m,"Свидев смерть своих родителей, миллиардер Брюс Уэйн узнает искусство борьбы, чтобы противостоять несправедливости. Когда он возвращается в Готэм в роли Бэтмена, он должен остановить секретное общество, которое намеревается уничтожить город.",8.2,"United States, United Kingdom","Action, Drama"
Зеленая книга,2018,2h 10m,Итальянско-американский вышибала рабочего класса становится движущей силой афроамериканского классического пианиста в туре по местам по американскому югу 1960-х годов.,8.2,"United States, China","Biography, Comedy, Drama"
На несколько долларов больше,1965,2h 12m,"Два убийцы наградных с аналогичными намерениями, но различные мотивы объединяются, чтобы выследить психотический мексиканский преступник, прежде чем он и его банда смогут выполнить смелое ограбление банка.",8.2,"Italy, Spain, West Germany","Drama, Western"
Шоу Трумана,1998,1h 43m,"Продавец страхования начинает подозревать, что вся его жизнь на самом деле является своего рода реалити -шоу.",8.2,United States,"Comedy, Drama"
Нюрнбергский процесс,1961,2h 59m,"Художественное изображение судей 1947 года, третье из двенадцати судебных процессов нацистских военных преступников, проведенных американскими оккупационными силами в Нюрнберге, Германия, в которых бывшие судьи нацистской Германии были предприняты для их действий.",8.3,United States,"Drama, War"
В джазе только девушки,1959,2h 1m,"После того, как два музыканта-мужчины стали свидетелями хита толпы, они бежат от государства в группе, замаскированной как женщины, замаскированной как женщины, но возникают дальнейшие осложнения.",8.2,United States,"Comedy, Music, Romance"
Малыш,1921,1h 8m,"Бродяга заботится о брошенном ребенке, но события подвергают их отношениям их отношения.",8.2,United States,"Comedy, Drama, Family"
Остров проклятых,2010,2h 18m,"Два американских маршала отправляются в психиатрическое учреждение на негостеприимном острове, чтобы исследовать исчезновение пациента.",8.2,United States,"Drama, Mystery, Thriller"
Отец,2020,1h 37m,"Мужчина отказывается от всей помощи от своей дочери, когда он стареет. Когда он пытается понять, что происходит вокруг него, он начинает сомневаться в своих близких, его собственном уме и даже ткани его реальности.",8.2,"United Kingdom, France, United States","Drama, Mystery"
Всё о Еве,1950,2h 18m,"Казалось бы, робкая, но тайно безжалостная Инжене вмешается в жизнь стареющей звезды Бродвея и ее круга театральных друзей.",8.2,United States,Drama
Парк юрского периода,1993,2h 7m,"Промышленник приглашает некоторых экспертов посетить его тематический парк клонированных динозавров. После сбоя сил существа убегают, впадая в опасность, в том числе его внуки.",8.2,United States,"Action, Adventure, Sci-Fi"
Нефть,2007,2h 38m,"История семьи, религии, ненависти, нефти и безумия, сосредоточенная на разведчике на рубеже веков в первые дни бизнеса.",8.2,United States,Drama
Казино,1995,2h 58m,"В Лас-Вегасе два лучших друзья-исполнительный директор казино и мафиозный сияющий-скомплектируются империей азартных игр и быстроживущем, быстро любящем светском происхождении.",8.2,"United States, France","Crime, Drama"
Шестое чувство,1999,1h 47m,"После того, как его застрелил бывшим пациентом, которого он не смог помочь, детский психолог из Филадельфии ищет искупления, обращаясь к молодому мальчику с тревожным секретом.",8.2,United States,"Drama, Mystery, Thriller"
Ран,1985,2h 40m,"В средневековой Японии пожилой военачальник уходит на пенсию, передавая свою империю своим трем сыновьям. Тем не менее, он значительно недооценивает, как вновь обретенная сила испортит их, и заставит их поворачивать друг друга ... и его.",8.2,"Japan, France","Action, Drama, War"
Топ Ган. Мэверик,2022,2h 10m,"История связана с тем, что Маверик противостоит своему прошлому во время обучения группы молодых выпускников высшего оружия, в том числе сына его покойного лучшего друга, для опасной миссии.",8.2,United States,"Action, Drama"
Старикам тут не место,2007,2h 2m,"Насилие и хаос заступают после того, как охотник наткнулся на последствия сделки с наркотиками, и более двух миллионов долларов наличными возле Рио -Гранде.",8.2,United States,"Crime, Drama, Thriller"
Нечто,1982,1h 49m,"Исследовательская группа в Антарктиде охотится на инопланетянин, изменяющий форму, который предполагает появление своих жертв.",8.2,"United States, Canada","Horror, Mystery, Sci-Fi"
Лабиринт Фавна,2006,1h 58m,"В 1944 году Испания послала девушку жить со своим безжалостным отчимом. Ночью она встречает фею, которая ведет ее к старому фаун. Он говорит ей, что она принцесса, но должна доказать свою королевскую власть, пережив три ужасных задачи.",8.2,"Mexico, Spain","Drama, Fantasy, War"
Непрощенный,1992,2h 10m,"Острый Уэст -Уэст -Ганслингер в отставке неохотно берет на себя последнюю работу, чтобы отомстить за несправедливость с помощью своего старого партнера и более нового преступника, известного просто как ребенок Шофилда.",8.2,United States,"Drama, Western"
Игры разума,2001,2h 15m,"Математический гений, Джон Нэш сделал удивительное открытие в начале своей карьеры и стоял на грани международного признания. Но красивый и высокомерный Нэш вскоре оказался в душераздирающем путешествии самопознания.",8.2,United States,"Biography, Drama, Mystery"
Убить Билла. Фильм 1,2003,1h 51m,"Проснувшись от четырехлетней комы, бывший убийца отомстил от команды убийц, которые ее предали.",8.2,United States,"Action, Crime, Thriller"
Сокровища Сьерра Мадре,1948,2h 6m,"Два американца в духе, ищущие работу в 1920-х годах Мексики, убедили старого разведчика помочь им добывать золото в горах Сьерра-Мадре.",8.2,United States,"Adventure, Drama, Western"
Пленницы,2013,2h 33m,"Келлер Дувер сталкивается с худшим кошмаром каждого родителя. Его шестилетняя дочь, Анна, пропала без вести, вместе со своей подругой Джой, и, когда минуты превращаются в часы, панические зарегистрируются. Единственное лидерство-это RV, который был припаркован на их улице.",8.2,United States,"Crime, Drama, Mystery"
Телохранитель,1961,1h 50m,"Хитрый Ронин приходит в город, разделенный двумя преступными бандами, и решает сыграть их друг против друга, чтобы освободить город.",8.2,Japan,"Action, Drama, Thriller"
В поисках Немо,2003,1h 40m,"После того, как его сын запечатлен в Большом Барьерном рифе и доставлен в Сидней, робкая рыба -клоуна отправляется в путешествие, чтобы привести его домой.",8.2,"United States, Japan","Animation, Adventure, Comedy"
Большой побег,1963,2h 52m,"Союзные офицеры в немецком лагере военнопленного во время Второй мировой войны создают смелый план массового побега сотнями своих людей, надеясь вытащить немецкий персонал и ресурсы вдали от боевых операций.",8.2,United States,"Adventure, Drama, Thriller"
Монти Пайтон и священный Грааль,1975,1h 31m,"Король Артур и его рыцари круглого стола отправляются в сюрреалистический, малобюджетный поиск Святого Грааля, встречающего много, очень глупые препятствия.",8.2,United Kingdom,"Adventure, Comedy, Fantasy"
Ходячий замок,2004,1h 59m,"Когда неуверенная молодая женщина проклята старым телом злобной ведьмой, ее единственный шанс нарушить заклинание лежит с самодовольным, но небезопасным молодым волшебником и его спутниками в его ноже, ходячий замок.",8.2,"Japan, United States","Animation, Adventure, Family"
The Elephant Man,1980,2h 4m,"Викторианский хирург спасает сильно изуродованного человека, которому плохо обращается, когда собираясь на жизнь как урод с боковым шоу. За его чудовищным фасадом обнаружен человек доброты, интеллекта и изысканности.",8.2,"United States, United Kingdom","Biography, Drama"
В случае убийства набирайте «М»,1954,1h 45m,"Лондонский плейбой представляет идеальное убийство его богатой, неверной жены.",8.2,United States,"Crime, Drama, Mystery"
Унесённые ветром,1939,3h 58m,"Закрытая и манипулятивная южная Белль и рогусский спекулятор сталкиваются с турбулентным романом, когда общество вокруг них рушатся с концом рабства и восстанавливается во время гражданской войны и периодов реконструкции.",8.2,United States,"Drama, Romance, War"
Расёмон,1950,1h 28m,"Изнасилование невесты и убийство ее мужа -самураев вспоминаются с точек зрения бандита, невесты, призрака самураев и деревянного штампа.",8.2,Japan,"Crime, Drama, Mystery"
Клаус,2019,1h 36m,"Простой акт доброты всегда вызывает другой, даже в замороженном, далеком месте. Когда новый почтальон Смиеренсбурга, Джеспер, подружился с игрушками Клауса, их подарки растают вековую вражду и доставляют сами, полные праздничных традиций.",8.2,"Spain, United Kingdom, United States, Austria, Canada, France","Animation, Adventure, Comedy"
Я все еще здесь,2024,2h 17m,"Женщина вышла замуж за бывшего политика во время военной диктатуры в Бразилии, вынуждена заново изобретать себя и наметить новый курс для своей семьи после насильственного и произвольного акта.",8.4,"Brazil, France","Biography, Drama, History"
Китайский квартал,1974,2h 10m,"Частный детектив, нанятый для разоблачения прелюбодея в 1930 -х годах, Лос -Анджелес оказывается в том, что он попал в сеть обмана, коррупции и убийства.",8.1,United States,"Drama, Mystery, Thriller"
Тайна в его глазах,2009,2h 9m,"Отставной юрисконсульт пишет роман в надежде найти закрытие для одного из его прошлых неразрешенных дел об убийстве, а также за его неразрешившую любовь к его начальнику - оба из которых все еще преследуют его десятилетия спустя.",8.2,"Argentina, Spain","Drama, Mystery, Romance"
"Карты, деньги, два ствола",1998,1h 47m,"Когда четыре мелких преступника проигрывают сфальсифицированную игру в покер против лондонского короля, он дает им одну неделю, чтобы урегулировать их огромный долг.",8.1,"United Kingdom, United States","Comedy, Crime"
«V» значит Вендетта,2005,2h 12m,"В будущем Британском антиутопическом обществе, темный боец ​​свободы, известный только псевдонимом «V», предназначен для свержения тиранического правительства - с помощью молодой женщины.",8.1,"United States, United Kingdom, Germany","Action, Drama, Sci-Fi"
Головоломка,2015,1h 35m,"После того, как молодая Райли вырвана из своей жизни на Среднем Западе и переехала в Сан -Франциско, ее эмоции - радость, страх, гнев, отвращение и грусть - конфликт с тем, как лучше всего ориентироваться в новом городе, доме и школе.",8.1,United States,"Animation, Adventure, Comedy"
Дикий робот,2024,1h 42m,"После кораблекрушения умный робот под названием Роз оказался на необитаемом острове. Чтобы выжить в суровой среде, Роз связывается с животными острова и заботится о детском гусь с сиротом.",8.2,"United States, Japan","Animation, Sci-Fi"
"Три билборда на границе Эббинга, Миссури",2017,1h 55m,"Мать лично бросает вызов местным властям раскрыть убийство своей дочери, когда они не могут поймать виновника.",8.1,"United Kingdom, United States","Comedy, Crime, Drama"
Мост через реку Квай,1957,2h 41m,"Британские военнопленные вынуждены построить железнодорожный мост через реку Кваи для своих японских похитителей в оккупированной Бирме, не зная, что союзные силы планируют смелый набег на коммандос через джунгли, чтобы уничтожить его.",8.1,"United Kingdom, United States","Adventure, Drama, War"
На игле,1996,1h 33m,"Рентон, глубоко погруженный на сцену наркотиков в Эдинбурге, пытается убрать и выйти, несмотря на очарование наркотиков и влияние друзей.",8.1,"United Kingdom, United States",Drama
Бешеный бык,1980,2h 9m,"Жизнь боксера Джейка Ламотты, чье насилие и характер, которые привели его к вершине на ринге, разрушила его жизнь вне его.",8.1,United States,"Biography, Drama, Sport"
"Поймай меня, если сможешь",2002,2h 21m,"Еще 17 еще 17, Фрэнк - опытный фальсификатор, который прошел в качестве врача, адвоката и пилота. Агент ФБР Карл становится одержимым отслеживанием мошенника, который только наслаждается преследованием.",8.1,"United States, Canada","Biography, Crime, Drama"
Фарго,1996,1h 38m,"Продавец автомобилей Миннесоты Джерри Ландегаард непредубеляется из -за того, что он и его приспешники сражаются и постоянную полицейскую работу довольно беременной Мардж Гандерсон.",8.1,"United Kingdom, United States","Crime, Drama, Thriller"
Воин,2011,2h 20m,"Младший сын бывшего боксера -алкоголика возвращается домой, где он обучен своим отцом для соревнований в турнире по смешанным боевым искусствам - пути, который ставит бойца на курс столкновения со своим отчужденным старшим братом.",8.1,United States,"Action, Drama, Sport"
Гарри Поттер и Дары смерти: Часть II,2011,2h 10m,"По мере того, как битва между силами добра и зла в волшебном мире экранируется, Гарри Поттер приближается к своему последнему противостоянию с Волдемортом.",8.1,"United Kingdom, United States","Adventure, Family, Fantasy"
Гран Торино,2008,1h 56m,"После того, как подросток хмонга пытается украсть свой ценный Gran Torino 1972 года, недовольный, предвзятый ветеран Корейской войны стремится искупить и мальчика, и его себя.",8.1,"Germany, United States",Drama
Малышка на миллион,2004,2h 12m,"Фрэнки, злоупотребленный старым тренером, неохотно соглашается обучить начинающего боксера Мэгги. Впечатленная ее решимостью и талантом, он помогает ей стать лучшей, и они вскоре составляют тесную связь.",8.1,United States,"Drama, Sport"
Мой сосед Тоторо,1988,1h 26m,"Когда две девушки переезжают в страну, чтобы быть рядом с своей больной матерью, у них есть приключения с чудесными лесными духами, которые живут поблизости.",8.1,Japan,"Animation, Comedy, Family"
Человек-паук: Нет пути домой,2021,2h 28m,"Теперь, когда личность Человека-паука раскрыта, Питер просит доктора Стрэнджа о помощи. Когда заклинание идет неправильно, начинают появляться опасные враги из других миров.",8.2,United States,"Action, Adventure, Fantasy"
Безумный Макс: Дорога ярости,2015,2h 0m,"В постсапокалиптической пустоши женщина повстанцает против тиранического правителя в поисках своей родины с помощью группы женских заключенных, психотического поклонника и дрифтера по имени Макс.",8.1,"Australia, United States","Action, Adventure, Sci-Fi"
Бен-Гур,1959,3h 32m,"Еврейский принц предан и отправлен в рабство римским другом в Иерусалиме 1-го века, но вскоре он восстановит свою свободу и вернется за мести.",8.1,United States,"Adventure, Drama"
Дети небес,1997,1h 29m,"После того, как мальчик теряет пару туфель своей сестры, он отправляется в серию приключений, чтобы найти их. Когда он не может, он пробует новый способ «выиграть» новую пару.",8.2,Iran,"Drama, Family, Sport"
Барри Линдон,1975,3h 5m,Ирландский мошенник выигрывает сердце богатой вдовы и занимает аристократическую должность ее мертвого мужа в Англии 18-го века.,8.1,"United Kingdom, United States","Adventure, Drama, War"
12 лет рабства,2013,2h 14m,"В антебеллуме Соломон Нортуп, свободный черный человек из северной части штата Нью -Йорк, похищен и продается в рабство.",8.1,"United Kingdom, United States","Biography, Drama, History"
Перед рассветом,1995,1h 41m,"Молодой мужчина и женщина встречаются в поезде в Европе, и однажды вечером проводят вместе в Вене. К сожалению, оба знают, что это, вероятно, будет их единственной ночью вместе.",8.1,"United States, Austria","Drama, Romance"
Общество мёртвых поэтов,1989,2h 8m,"Учитель Маверика Джон Китинг возвращается в 1959 году в престижную школу-интернат в Новой Англии, где он когда-то был звездным учеником, используя поэзию, чтобы побудить своих учеников к новым высотам самовыражения.",8.1,United States,"Comedy, Drama"
Бегущий по лезвию,1982,1h 57m,"Бегущий по лезвию должен преследовать и прекратить четыре репликанта, которые украли корабль в космосе и вернулись на Землю, чтобы найти своего создателя.",8.1,"United States, United Kingdom","Action, Drama, Sci-Fi"
Отель «Гранд Будапешт»,2014,1h 39m,"Писатель встречает владельца стареющего отеля высокого класса, который рассказывает ему о его первых годах, когда он служил лобби-мальчиком в славные годы отеля под исключительным консьержем.",8.1,"United States, Germany","Adventure, Comedy, Crime"
По соображениям совести,2016,2h 19m,"Медик Американской армии Второй мировой войны Десмонд Т. Досс, служащий во время битвы при Окинаве, отказывается убивать людей и становится первым человеком в американской истории, получившей Медаль Чести, не стреляя в выстрел.",8.1,United States,"Biography, Drama, History"
Исчезнувшая,2014,2h 29m,Муж пропавшей женщины становится главным подозреваемой в ее исчезновении.,8.1,United States,"Drama, Mystery, Thriller"
Воспоминания об убийстве,2003,2h 11m,"В маленькой корейской провинции в 1986 году два детектива борются со случаем того, что многочисленные молодые женщины обнаружили и изнасилованы и убиты неизвестным виновником.",8.1,South Korea,"Crime, Drama, Mystery"
Во имя отца,1993,2h 13m,"Принудительное признание ирландского мужчины к И.Р.А. Бомбардировка он не совершил приводит к тюремному заключению и отца. Тем временем британский адвокат борется, чтобы очистить их имена и освободить их.",8.1,"Ireland, United Kingdom, United States","Biography, Crime, Drama"
Корпорация монстров,2001,1h 32m,"Чтобы питать город, монстры должны пугать детей, чтобы они кричали. Тем не менее, дети токсичны для монстров, и после того, как ребенок пережил, два монстра понимают, что вещи могут не быть тем, что они думают.",8.1,United States,"Animation, Adventure, Comedy"
Рататуй,2007,1h 51m,"Крыса, которая может готовить, составляет необычный союз с молодым кухонным работником в знаменитом парижском ресторане.",8.1,United States,"Animation, Adventure, Comedy"
Золотая лихорадка,1925,1h 35m,"Разведчик отправляется в Клондайк во время золотой лихорадки 1890 -х годов в надежде сделать его состояние, и его поразит девушкой, которую он видит в танцевальном зале.",8.1,United States,"Adventure, Comedy, Drama"
Дикие истории,2014,2h 2m,"Шесть коротких рассказов, которые исследуют конечности человеческого поведения с участием людей в страданиях.",8.1,"Argentina, Spain, France, United Kingdom","Comedy, Drama, Thriller"
Как приручить дракона,2010,1h 38m,"Несчастный молодой викинг, который стремится охотиться на драконов, становится маловероятным другом самого молодого дракона и узнает, что существует больше для существ, чем он предполагал.",8.1,"United States, France, United Kingdom","Animation, Action, Adventure"
Шерлок младший,1924,0h 45m,"Кино -проекционист жаждет стать детективом и ставит свои скудные навыки на работу, когда его создает соперник за кражу карманных часов его подруги.",8.2,United States,"Action, Comedy, Romance"
Челюсти,1975,2h 4m,"Когда массивная убийственная акула развязывает хаос на пляжном сообществе у Лонг -Айленда, она зависит от местного шерифа, морского биолога и старого моряка, чтобы охотиться на зверя.",8.1,United States,"Adventure, Drama, Horror"
Мэри и Макс,2009,1h 32m,В 1976 году в Мельбурне одинокая 8-летняя девочка поднимает переписку с маловероятным приятелем по переписке: 44-летний 44-летний житель Нью-Йорка с синдромом Аспергера.,8.1,Australia,"Animation, Comedy, Drama"
Охотник на оленей,1978,3h 3m,"Углубленное изучение способов, которыми война во Вьетнаме влияет и нарушает жизнь нескольких друзей в маленьком сталелитейном заводе в Пенсильвании.",8.1,"United States, United Kingdom","Drama, War"
Паровоз Генерал,1926,1h 18m,"После того, как его отвергли военные Конфедерации, не осознавая, что это произошло из-за его важнейшей гражданской роли, инженер должен в одиночку повторно вернуть свою любимую локомотиву после того, как он был захвачен союзными шпионами и вернуть его через вражеские линии.",8.1,United States,"Action, Adventure, Comedy"
Ford против Ferrari,2019,2h 32m,"Американский дизайнер автомобилей Кэрролл Шелби и водитель Кен Майлз боятся корпоративное вмешательство и законы физики для строительства революционного гоночного автомобиля для Ford, чтобы победить Ferrari в 24 часа Le Mans в 1966 году.",8.1,United States,"Action, Biography, Drama"
Плата за страх,1953,2h 36m,"В дряхлевой южноамериканской деревне нанимаются четверо мужчин для перевозки неотложной грузоподъемности нитроглицерина без оборудования, которое сделало бы его безопасным.",8.1,"France, Italy","Adventure, Drama, Thriller"
В порту,1954,1h 48m,"Экс-боец, превративший в Нью-Джерси Лонгшореман, изо всех сил пытается противостоять своим коррумпированным боссам Союза, включая своего старшего брата, когда он начинает общаться с скорбящей сестрой одной из жертв синдиката.",8.1,United States,"Crime, Drama, Thriller"
Мистер Смит едет в Вашингтон,1939,2h 9m,"Наивный молодежный лидер назначается для заполнения вакансии в Сенате США. Его идеалистические планы быстро сталкиваются с коррупцией дома и уловками от своего героя в Вашингтоне, но он пытается выходить вперед, несмотря на нападения на своего характера.",8.1,United States,"Comedy, Drama"
Земляничная поляна,1957,1h 32m,"Проживая жизнь, отмеченную холодом, стареющий профессор вынужден противостоять пустоте своего существования.",8.1,Sweden,"Drama, Romance"
Логан,2017,2h 17m,"В будущем, где мутанты почти вымерли, пожилые люди и утомленный Логан ведет тихую жизнь. Но когда Лаура, мутант -ребенок, преследуемый учеными, приходит к нему за помощью, он должен доставить ее в безопасное место.",8.1,United States,"Action, Drama, Sci-Fi"
Третий человек,1949,1h 44m,"Романист из целлюлозы Холли Мартинс путешествует в тенистую, послевоенную Вену, только чтобы расследовать загадочную смерть старого друга Гарри Лайма.",8.1,United Kingdom,"Drama, Film-Noir, Mystery"
Рокки,1976,2h 0m,"Небольшой боксер из Филадельфии получает чрезвычайно редкий шанс сразиться с чемпионом мира в супертяжелом весе, в котором он стремится пройти дистанцию ​​для своего самоуважения.",8.1,United States,"Drama, Sport"
Махараджа,2024,2h 21m,"Парикмахер ищет мести после того, как его дом будет ограблен, загадочно рассказывает полиции, что его «Лакшми» был взят, оставив их неопределенными, если это человек или объект. Его стремление восстановить неуловимую ""Лакшми"" разворачивается.",8.4,India,"Action, Crime, Drama"
Токийская повесть,1953,2h 17m,"Старая пара посещает их детей и внуков в городе, но уделяет мало внимания.",8.1,Japan,Drama
Большой Лебовски,1998,1h 57m,"Джефф ""Чувак"" Лебовски, ошибочный за одноименное миллионера, ищет реституцию за его разрушенный коврик и заполняет своих приятелей для боулинга, чтобы помочь получить его.",8.1,"United Kingdom, United States","Comedy, Crime"
В центре внимания,2015,2h 9m,"Истинная история о том, как Бостонский глобус раскрыл массовый скандал с пристанием к ребенку и прикрытию в местной католической архиепархии, встряхивая всю католическую церковь.",8.1,United States,"Biography, Crime, Drama"
Седьмая печать,1957,1h 36m,"Рыцарь, возвращающийся в Швецию после того, как крестовые походы ищут ответы о жизни, смерти и существовании Бога, когда Он играет в шахмат против мрачного жнеца во время черной чумы.",8.1,Sweden,"Drama, Fantasy"
Терминатор,1984,1h 47m,"Киборгский убийца из будущих попыток найти и убить молодую женщину, которой суждено родить воина, который приведет к сопротивлению спасению человечества от исчезновения.",8.1,"United Kingdom, United States","Action, Adventure, Sci-Fi"
Комната,2015,1h 58m,"Маленький мальчик держит в плену в комнате со своей матерью с момента его рождения, поэтому он никогда не знал мир снаружи.",8.1,"Ireland, Canada, United Kingdom, United States","Drama, Thriller"
Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,2h 23m,"Кузнец будет объединяться с эксцентричным пиратом «капитаном» Джеком Воробей, чтобы спасти Элизабет Суонн, дочь губернатора и его любовь, от бывших пиратских союзников Джека, которые сейчас нежить.",8.1,United States,"Action, Adventure, Fantasy"
Ненависть,1995,1h 38m,24 часа в жизни трех молодых людей во французских пригородах на следующий день после жестокого бунта.,8.1,France,"Crime, Drama"
Да прольётся свет,2021,2h 44m,"Когда племенный мужчина арестован по делу о предполагаемой краже, его жена обращается к адвокату по правам человека, чтобы помочь принести справедливость.",8.7,"India, United States","Crime, Drama"
Отель «Руанда»,2004,2h 1m,"Пол Русесабагина, менеджер отеля, размещает более тысячи беженцев тутси во время их борьбы с милицией хуту в Руанде, Африка.",8.1,"United States, United Kingdom, South Africa, Italy","Biography, Drama, History"
Взвод,1986,2h 0m,"Крис Тейлор, новобранец неофит во Вьетнаме, оказывается пойманным в битве завещания между двумя сержантами, одним добром и другом злом. Проницательное исследование жестокости войны и двойственности человека в конфликте.",8.1,"United States, United Kingdom","Drama, War"
Перед закатом,2004,1h 20m,"Через девять лет после того, как Джесси и Селин впервые встретились, они снова сталкиваются друг с другом на французском этапе книжного тура Джесси.",8.1,"France, United States","Drama, Romance"
Лучшие годы нашей жизни,1946,2h 50m,"Три ветерана Второй мировой войны, два из которых были травмированы или инвалиды, возвращаются домой на американский Средний Запад, чтобы обнаружить, что они и их семьи были непоправимо изменились.",8.1,United States,"Drama, Romance, War"
Изгоняющий дьявола,1973,2h 2m,"Когда таинственная сущность обладает молодой девушкой, ее мать ищет помощи двух католических священников, чтобы спасти ее жизнь.",8.1,United States,Horror
Страсти Жанны д'Арк,1928,1h 50m,В 1431 году Жанна Д'Арк предназначена для суда по обвинению в ересь. Церковные юристы пытаются заставить Жанну отречься от ее требований святых видений.,8.1,France,"Biography, Drama, History"
Волшебник страны Оз,1939,1h 42m,"Молодая Дороти Гейл и ее собака Тото сметают торнадо с их Канзасской фермы на волшебную страну Оз и отправляются на поиски с тремя новыми друзьями, чтобы увидеть волшебника, который может вернуть ее в дом и выполнить пожелания других.",8.1,United States,"Adventure, Family, Fantasy"
Суперсемейка,2004,1h 55m,"Пытаясь вести тихую пригородную жизнь, семья тайных супергероев вынуждена спасти мир.",8.0,United States,"Animation, Action, Adventure"
Звуки музыки,1965,2h 52m,"В 1930 -х годах ее монастырь послал молодой новичок, чтобы стать гувернантой семерыми детьми овдовевшего военно -морского офицера.",8.1,United States,"Biography, Drama, Family"
Гонка,2013,2h 3m,"Джеймс Хант и Ники Лауда, два чрезвычайно опытных гонщика Формулы -1, имеют сильное соперничество друг с другом. Тем не менее, именно их вражда толкает их до предела.",8.1,"United Kingdom, United States","Biography, Drama, Sport"
Хатико: самый верный друг,2009,1h 33m,"Профессор Уилсон обнаруживает потерянного щенка Акиты по дороге домой. Несмотря на возражения со стороны своей жены, Хачи постигает себя семье и становится верным компаньоном Паркера. По мере того, как их связь становится глубже, прекрасные отношения разворачиваются.",8.1,"United Kingdom, United States","Biography, Drama, Family"
Останься со мной,1986,1h 29m,"Писатель рассказывает о детском путешествии со своими друзьями, чтобы найти тело пропавшего мальчика.",8.1,United States,"Adventure, Comedy, Drama"
Телесеть,1976,2h 1m,"Телевизионная сеть цинично использует ненормативные бреды бывшего якоря и откровения о средствах массовой информации для своей собственной прибыли, но обнаруживает, что его сообщение может быть трудно контролировать.",8.1,United States,Drama
Истребитель демонов: Битва в доме Цудзуми,2021,1h 27m,"Танджиро отправляется на юго-юго-восток, где он сталкивается с трусливым молодым человеком по имени Зенитсу Агацума. Он выживший из окончательного отбора, и его воробей просит Танджиро помочь держать его в очереди.",8.5,Japan,"Animation, Action, Fantasy"
Мой отец и мой сын,2005,1h 52m,Семья левого журналиста разрывается после военного переворота Турции в 1980 году.,8.2,Turkey,"Drama, Family"
Служанка,2016,2h 25m,"В 1930 -х годах, Корея, девушка нанимается в качестве служанки японской наследнице, которая живет уединенной жизнью в сельской местности. Но у горничной есть секрет: она - карманник, завербованный мошенником, чтобы помочь соблазнить леди и украсть ее состояние.",8.1,South Korea,"Drama, Romance, Thriller"
Стальной гигант,1999,1h 26m,"Молодой мальчик подружился с гигантским роботом из космоса, который хочет уничтожить параноидный правительственный агент.",8.1,"United States, Czech Republic, United Kingdom","Animation, Action, Adventure"
Быть или не быть,1942,1h 39m,Во время немецкой оккупации Польши действующая труппа становится втянутой в усилия польского солдата по отслеживанию немецкого шпиона.,8.1,United States,"Comedy, Romance, War"
Битва за Алжир,1966,2h 1m,"В 1950 -х годах страх и насилие растут, когда народ Алжира борются за независимость со стороны французского правительства.",8.1,"Italy, Algeria","Drama, War"
В диких условиях,2007,2h 28m,"После окончания Университета Эмори ведущий студент и спортсмен Кристофер МакКандлесс отказывается от своего имущества, придает весь его сберегательный счет в размере 24 000 долларов на благотворительность и автостопные изделия на Аляску, чтобы жить в пустыне.",8.1,United States,"Adventure, Biography, Drama"
Гроздья гнева,1940,2h 9m,"Семья штата Оклахома, изгнанная с фермы по бедности и безнадежности пылевой чаши, присоединяется к миграции на запад в Калифорнию, страдая от несчастий бездомных в Великой депрессии.",8.1,United States,Drama
День сурка,1993,1h 41m,"Нарциссический, эгоистичный метеоролог оказывается в временной цикле в день сурка.",8.0,United States,"Comedy, Drama, Fantasy"
Форма голоса,2016,2h 10m,"Глухая девушка, Шоко, издевается популярной Шайей. Когда Шоя продолжает запугать Шоко, класс возвращается на него. Шоко переводится, а Shoya растет как изгоя. В одиночку и в депрессии, сожаление Шая находит Шоко, чтобы исправить.",8.1,Japan,"Animation, Drama"
Прислуга,2011,2h 26m,"Начинающий автор во время движения за гражданские права 1960 -х годов решает написать книгу, в которой подробно описывается точка зрения афроамериканских горничных на белых семьях, для которых они работают, и трудности, которые они проходят ежедневно.",8.1,"United States, India",Drama
Сука любовь,2000,2h 34m,"Любительский боец ​​собаки, супермодель и заброшенная убийца, все они изо всех сил пытаются найти любовь, находят свою жизнь, преобразованную разрушительной автомобильной аварией в Мехико.",8.0,Mexico,"Drama, Thriller"
